CRASH_NUM,OBJECTID_1,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURENCE_DATE,LAST_OCCURENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,REAL_LON,REAL_LAT,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,BICYCLE_IND,PEDESTRIAN_IND
C-1,139029,2018287160,2.01829E+018,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,1/12/2018 20:41,None,1/12/2018 20:43,E SPEER BLVD / N CLARKSON ST,31469660,16876060,-1049775477,397201208,-1049775477,397201208,3,311,Speer,0,0
C-2,138363,201874810,2.01875E+017,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,1/4/2018 4:47,None,1/4/2018 4:47,I25 HWYNB / N SPEER BLVD,31370040,17003030,-105012719,397551283,-105012719,397551283,1,123,Jefferson Park,0,0
C-3,138749,2018201670,2.0182E+017,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,1/9/2018 15:08,None,1/9/2018 15:10,W COLFAX AVE / I25 HWYNB,31366820,16949490,-1050139661,397404354,-1050139661,397404354,1,123,Lincoln Park,0,0
C-4,141491,20181091910,2.01811E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,2/15/2018 6:09,None,2/15/2018 6:48,6800 BLOCK N TOWER RD,32046120,17245520,-1047715752,398204528,-1047715752,398204528,5,522,DIA,0,1
C-5,141738,20181164450,2.01812E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,2/18/2018 1:29,None,2/18/2018 1:29,I70 HWYEB / I225 HWYSB,31872510,17070840,-1048338345,397728675,-1048338345,397728675,1,112,Globeville,0,0
C-6,142624,20181347870,2.01813E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,2/26/2018 8:30,None,2/26/2018 9:44,N UTICA ST / W 38TH AVE,31278600,17054470,-1050451492,397693796,-1050451492,397693796,1,113,West Highland,1,0
C-7,142863,20181424590,2.01814E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,3/1/2018 7:47,None,3/1/2018 9:19,1800 BLOCK W VIRGINIA AVE,31381720,16829610,-1050088983,39707504,-1050088983,39707504,4,412,Athmar Park,0,1
C-8,142981,20181550630,2.01816E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,3/6/2018 21:20,None,3/6/2018 21:22,N NORTHFIELD QUEBEC ST / I70 HWYEB,31676370,17089270,-1049035683,397783009,-1049035683,397783009,2,221,Northeast Park Hill,0,0
C-9,143243,20181497450,2.01815E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,3/3/2018 23:51,None,3/4/2018 3:03,I70 HWYEB / N BRIGHTON BLVD,31497580,17093920,-1049671683,397798825,-1049671683,397798825,2,212,Elyria Swansea,0,0
C-10,143129,20181587850,2.01816E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,3/8/2018 11:18,None,3/8/2018 11:51,E BELLEVIEW AVE / S ULSTER ST,31705200,16527770,-1048946424,396241055,-1048946424,396241055,3,324,Hampden South,0,0
C-11,143222,20181622880,2.01816E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,3/9/2018 19:00,None,3/9/2018 19:47,800 BLOCK S PLATTE RIVER DR,31413250,16766030,-1049978168,396900025,-1049978168,396900025,4,412,Athmar Park,0,0
C-12,148945,20183328270,2.01833E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,5/17/2018 21:48,None,5/17/2018 22:57,1600 BLOCK E COLFAX AVE,31495460,16947720,-1049682271,397397517,-1049682271,397397517,6,622,Cheesman Park,0,0
C-13,148019,20183185600,2.01832E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,5/11/2018 23:34,None,5/12/2018 0:25,N TOWER RD / E 43RD AVE,32046050,17078750,-1047720758,397746734,-1047720758,397746734,5,523,Gateway - Green Valley Ranch,0,0
C-14,149073,20183499360,2.01835E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,5/25/2018 0:46,None,5/25/2018 1:23,2600 BLOCK W EVANS AVE,31353300,16724150,-1050191977,396785945,-1050191977,396785945,4,422,College View - South Platte,0,1
C-15,146878,20182828500,2.01828E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,4/28/2018 0:30,None,4/28/2018 1:50,I25 HWYNB / I70 HWYEB,31435670,17094150,-1049891946,397800432,-1049891946,397800432,1,112,Globeville,0,0
C-16,149277,20183564110,2.01836E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,5/27/2018 17:10,None,5/27/2018 18:13,W 1ST AVE / N KNOX CT,31315190,16868050,-1050324741,397181529,-1050324741,397181529,4,411,Barnum,0,0
C-17,149584,20183644590,2.01836E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,5/30/2018 22:12,None,5/30/2018 22:33,6200 BLOCK E MLK BLVD,31641480,17028810,-1049161196,397617661,-1049161196,397617661,2,221,North Park Hill,0,1
C-18,147404,20182832510,2.01828E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,4/28/2018 7:25,None,4/28/2018 7:29,17700 BLOCK E GVR BLVD,32024590,17110950,-1047796195,397835595,-1047796195,397835595,5,522,Gateway - Green Valley Ranch,0,0
C-19,147149,20182683130,2.01827E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,4/22/2018 4:01,None,4/22/2018 4:01,I70 HWYEB / N DAHLIA ST,31597380,17095020,-1049316584,397800184,-1049316584,397800184,2,221,Northeast Park Hill,0,0
C-20,149650,20183638440,2.01836E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,5/30/2018 17:11,None,5/30/2018 18:07,1400 BLOCK WELTON ST,31424910,16957620,-1049932939,397425801,-1049932939,397425801,6,611,CBD,0,1
C-21,150443,20183887730,2.01839E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,6/10/2018 2:30,None,6/10/2018 2:30,2500 BLOCK 20TH ST,31397630,17021130,-105002871,397600561,-105002871,397600561,1,113,Highland,0,0
C-22,150450,20183892310,2.01839E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,6/10/2018 10:25,None,6/10/2018 11:19,2500 BLOCK S FEDERAL BLVD,31337180,16698190,-105024973,396714911,-105024973,396714911,4,421,Harvey Park,0,1
C-23,150552,20183925160,2.01839E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,6/11/2018 17:30,None,6/11/2018 21:41,W HARVARD AVE / S FEDERAL BLVD,31336920,16699260,-1050250633,396717852,-1050250633,396717852,4,421,Harvey Park,0,1
C-24,150538,20183919860,2.01839E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,6/11/2018 13:51,None,6/11/2018 13:51,I25 HWYSB / W 6TH AVE,31368820,16895170,-1050133584,397255206,-1050133584,397255206,3,311,Baker,0,0
C-25,151460,20184204520,2.01842E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,6/23/2018 1:53,None,6/23/2018 3:16,400 BLOCK E SPEER BLVD,31453490,16886250,-1049832752,397229435,-1049832752,397229435,3,311,Speer,1,0
C-26,150564,20183864660,2.01839E+019,5441,2,TRAF-ACCIDENT-  ,TRAF - ACCIDENT - FATAL       ,6/9/2018 2:22,None,6/9/2018 3:15,100 BLOCK S KALAMATH ST,31406460,16856200,-1050000531,397147664,-1050000531,397147664,3,311,Baker,0,0
